,GenCo1,GenCo2,GenCo3,GenCo4,GenCo5,GenCo6,GenCo7,GenCo8,GenCo9,GenCo10,GenCo11,GenCo12,GenCo13,GenCo14,GenCo15,GenCo16,GenCo17,GenCo18,GenCo19,GenCo20,GenCo21,GenCo22,GenCo23,GenCo24,GenCo25,GenCo26,GenCo27,GenCo28,GenCo29,GenCo30,GenCo31,GenCo32,GenCo33,GenCo34,GenCo35,GenCo36,GenCo37,GenCo38,GenCo39,GenCo40,GenCo41,GenCo42,GenCo43,GenCo44,GenCo45,GenCo46,GenCo47,GenCo48,GenCo49,GenCo50,GenCo51,GenCo52,GenCo53,GenCo54,GenCo55,GenCo56,GenCo57,GenCo58,GenCo59,GenCo60,GenCo61,GenCo62,GenCo63,GenCo64,GenCo65,GenCo66,GenCo67,GenCo68,GenCo69,GenCo70,GenCo71,GenCo72,GenCo73,GenCo74,GenCo75,GenCo76,GenCo77,GenCo78,GenCo79,GenCo80,GenCo81,GenCo82
0,130,448,606.75,0,710.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.25,0,0,629.5,101.75,213.9496,0,0,0,626.5,0,0,0,122.5,0,0,0,0,105,582.75,0,0,549.75,845,0,0,108,0,0,0,0,0,0,585.75,0,0,0,188.75,0,0,0,0,0,0,747,445,0,379.25,300,0,0,0,0,0,0,603.25,580.75,0,0
1,520,850,204.75,0,308.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.25,0,0,629.5,407,200,0,0,0,898,0,0,0,122.5,0,0,0,0,420,180.75,0,0,549.75,443,0,0,0,0,0,0,0,0,0,423.8405,0,0,0,590.75,0,0,0,0,0,0,345,445,0,379.25,300,0,0,0,0,0,0,201.25,715,0,0
2,520,586.72966,0,0,710.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.5,407,200,0,0,0,496,0,0,0,0,0,0,0,0,105,180.75,0,0,549.75,443,0,0,0,0,0,0,0,0,0,183.75,0,0,0,188.75,0,0,0,0,0,0,0,111.25,0,0,0,0,0,0,0,0,0,201.25,580.75,0,0
3,130,212.5,0,0,308.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.75,0,0,0,0,224.5,0,0,0,122.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.25,178.75,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,308.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.5,0,224.5,0,0,0,0,0,0,362.5,0,105,180.75,0,0,549.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,345,0,0,0,300,0,0,0,0,0,0,0,178.75,0,313
16,0,0,0,0,710.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.75,0,202.5,296.15383,0,224.5,0,0,0,0,0,0,764.5,0,105,180.75,0,0,951.75,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,333,345,0,0,0,300,0,0,0,0,0,0,201.25,580.75,0,715
17,0,0,0,0,1112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,200,604.5,466.35629,0,626.5,0,0,0,0,0,0,1166.5,0,420,180.75,0,0,549.75,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,735,345,0,0,0,0,0,0,0,0,0,0,603.25,178.75,0,313
18,0,0,0,0,710.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.25,0,0,407,602,202.5,237.5,0,224.5,0,0,0,0,0,0,909.39328,0,420,180.75,0,0,549.75,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,735,345,0,0,0,300,0,0,0,0,0,0,485.34461,178.75,0,313
19,0,0,0,0,308.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.25,0,227.5,407,602,202.5,639.5,0,224.5,0,0,0,0,0,0,1311.3933,0,420,0,0,0,951.75,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,513.78815,178.75,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.25,743.25,0,629.5,101.75,200,0,950,0,0,0,0,0,0,0,0,909.39328,0,420,0,0,0,1353.75,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.25,178.75,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.25,341.25,0,910,0,0,0,548,0,0,0,0,0,0,0,0,764.5,0,420,0,0,0,1716.2893,443,0,0,0,0,0,0,0,0,0,183.75,0,0,0,188.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.75,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,0,910,0,0,0,639.5,0,0,0,0,0,0,0,0,362.5,0,105,0,0,0,2027.9175,0,0,0,0,0,0,0,0,0,0,585.75,0,0,0,590.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.25,0,0,742.01704,0,0,0,237.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625.9175,0,0,0,0,0,0,0,0,0,0,714.2324,0,0,0,188.75,0,0,0,0,0,0,0,111.25,102,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.25,0,0,340.01704,0,0,0,539.07904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265.9194,0,0,0,0,0,0,0,0,0,0,735,0,0,0,590.75,0,0,0,0,0,0,0,445,408,379.25,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.5,0,0,0,941.07904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863.91943,0,0,0,0,0,0,0,0,0,0,585.75,0,0,0,188.75,0,0,0,0,0,0,0,445,408,781.25,300,0,0,0,0,0,0,0,0,0,0
26,0,0,204.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.5,0,0,0,539.07904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951.75,0,0,0,0,0,0,0,0,0,0,183.75,0,0,0,188.75,295,0,0,0,0,0,345,445,408,379.25,600,0,0,0,0,0,0,0,0,0,0
